City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
433,Eyl,SO,2022-08-01 00:17:22,7.9803,49.8164,76.23,73,12,23.47,Amiin Hotel
439,Big Rapids,US,2022-08-01 00:16:43,43.6981,-85.4837,78.87,46,0,9.22,"Holiday Inn Big Rapids, an IHG Hotel"
441,Suba,PH,2022-08-01 00:17:25,10.8438,121.0102,82.54,76,100,7.36,Jarnchi Pension House
442,Vila Do Maio,CV,2022-08-01 00:17:26,15.1333,-23.2167,77.79,76,33,12.57,Hotel Marilu
446,Komsomolskiy,UZ,2022-08-01 00:17:28,40.4272,71.7189,77.72,36,99,2.3,Ikathouse
447,Champerico,GT,2022-08-01 00:17:28,14.3,-91.9167,76.37,90,100,14.0,"Hotel y restaurante ""El Diamante"""
450,Vung Tau,VN,2022-08-01 00:17:30,10.346,107.0843,81.66,82,100,9.06,Seaside Resort
458,Kota Kinabalu,MY,2022-08-01 00:17:34,5.9749,116.0724,76.98,88,20,6.91,Gaya Centre Hotel
461,Kushima,JP,2022-08-01 00:18:35,31.4583,131.2333,81.79,93,91,12.55,Hanaoka
463,Derbent,RU,2022-08-01 00:18:36,42.0678,48.2899,75.54,65,80,1.83,Elit
468,Yuzhou,CN,2022-08-01 00:18:38,34.1628,113.4639,82.6,71,0,3.04,Hancheng Wen Yuan Ge Hotel
469,Teacapan,MX,2022-08-01 00:18:39,22.55,-105.75,84.4,66,100,9.82,Hotel los Mangos
471,Korla,CN,2022-08-01 00:17:01,41.7597,86.1469,75.81,46,52,12.91,Gulisitan Hotel
477,Oussouye,SN,2022-08-01 00:18:42,12.485,-16.5469,76.6,89,100,8.23,Auberge du Routard
478,Namatanai,PG,2022-08-01 00:18:43,-3.6667,152.4333,84.43,69,84,9.26,Seagulls Inn Namatani
479,Biak,ID,2022-08-01 00:18:43,-0.9131,122.8766,77.58,83,100,3.94,Penginapan Kim
483,Bandarbeyla,SO,2022-08-01 00:18:45,9.4942,50.8122,75.88,80,58,27.72,JABIR HOTEL
493,Nizwa,OM,2022-08-01 00:18:53,22.9333,57.5333,83.08,65,88,2.33,Orient Apartments
497,Hami,CN,2022-08-01 00:18:55,42.8,93.45,83.77,27,56,5.64,Laoyutang Resort
499,Alofi,NU,2022-08-01 00:16:41,-19.0595,-169.9187,80.49,69,2,14.97,Taloa Heights
500,Baindur,IN,2022-08-01 00:18:56,13.8667,74.6333,79.52,90,100,9.37,Sai Vishram Beach Resort (Pure Veg and No Alcohol)
502,Umm Lajj,SA,2022-08-01 00:15:33,25.0213,37.2685,84.7,59,36,7.81,Moon light Furnished Units
503,Porto Novo,BJ,2022-08-01 00:18:57,6.4965,2.6036,75.02,80,100,12.03,Tour Eiffel Hotel Benin
504,Kupang,ID,2022-08-01 00:18:58,-10.1667,123.5833,79.18,70,32,5.95,Hotel On The Rock by Prasanthi
512,Goderich,CA,2022-08-01 00:15:22,43.7501,-81.7165,81.91,53,6,11.5,Harmony Inn
515,Cairns,AU,2022-08-01 00:20:03,-16.9167,145.7667,77.07,82,100,9.22,Mantra Trilogy Cairns
521,Banjar,ID,2022-08-01 00:20:06,-8.19,114.9675,78.06,68,61,1.74,The Hamsa Resort
529,Kieta,PG,2022-08-01 00:20:10,-6.2167,155.6333,84.76,69,21,6.02,Uruna Bay Retreat
530,Kapit,MY,2022-08-01 00:20:10,2.0167,112.9333,75.42,94,100,0.78,Hotel Meligai Kapit
533,Ano Mera,GR,2022-08-01 00:20:12,37.45,25.4,80.67,61,0,13.8,Hotel La Résidence Mykonos
534,Quang Ngai,VN,2022-08-01 00:19:55,15.1167,108.8,80.53,75,72,4.41,Central Hotel
543,Kuching,MY,2022-08-01 00:20:17,1.55,110.3333,77.22,94,20,1.14,Hilton Kuching
545,Attock,PK,2022-08-01 00:20:18,33.7695,72.3611,76.37,86,100,3.85,COMSATS hostel Ahmed Plaza Attock
549,Marsh Harbour,BS,2022-08-01 00:20:20,26.5412,-77.0636,83.37,71,63,11.9,Abaco Beach Resort
561,Ensenada,MX,2022-08-01 00:20:20,31.8667,-116.6167,76.95,76,9,7.07,Best Western El Cid
562,Najran,SA,2022-08-01 00:21:26,17.4924,44.1277,84.85,64,53,18.92,محمد هادي ال فطيح
564,Huesca,ES,2022-08-01 00:21:27,42.1362,-0.4087,76.05,71,0,5.75,Hotel Sancho Abarca SPA Huesca
565,Porto Velho,BR,2022-08-01 00:19:04,-8.7619,-63.9039,78.85,69,20,1.14,Ecos Hotel Conforto
566,Praya,CV,2022-08-01 00:21:28,14.9215,-23.5087,77.54,73,75,11.5,LT Aparthotel
567,Sabha,LY,2022-08-01 00:21:28,27.0377,14.4283,82.96,20,0,9.64,محطة ام الارانب -سبها مواصلات
578,Hermosillo,MX,2022-08-01 00:18:12,29.0667,-110.9667,78.71,94,75,3.44,ibis Hermosillo
579,Colon,PA,2022-08-01 00:21:34,9.3592,-79.9014,84.15,82,65,5.01,Sand Diamond Hotel
585,Guabito,PA,2022-08-01 00:21:36,9.5,-82.6167,80.06,84,93,3.49,Cabinas Sanchez Salazar
586,Yinchuan,CN,2022-08-01 00:17:56,38.4681,106.2731,78.73,60,94,12.06,JJ Inns - Yinchuan New Moon Square Branch
592,Careiro Da Varzea,BR,2022-08-01 00:21:39,-3.2003,-59.8119,81.21,79,60,3.74,POUSADA DA ALDENORA
602,Revadanda,IN,2022-08-01 00:22:55,18.5503,72.9278,80.28,82,71,5.5,OYO 22032 P P Motel
606,Sirohi,IN,2022-08-01 00:22:57,24.8833,72.8667,77.02,88,76,11.41,Dheeraj Kumar
609,Nouadhibou,MR,2022-08-01 00:22:59,20.931,-17.0347,75.18,78,13,9.22,El Medina
610,Haileybury,CA,2022-08-01 00:22:59,47.449,-79.6373,75.78,55,29,12.37,Haileybury Beach Motel
613,Alandur,IN,2022-08-01 00:23:01,13.0025,80.2061,83.93,89,75,6.91,Hilton Chennai
615,Shenjiamen,CN,2022-08-01 00:23:02,29.9576,122.298,83.61,81,100,8.12,Jinjiang Inn Zhoushan Putuo Shenjiamen
617,Tabuk,PH,2022-08-01 00:23:03,17.4189,121.4443,78.64,85,100,2.1,Golden Berries Hotel and Convention
618,Banes,CU,2022-08-01 00:23:03,20.9625,-75.7186,80.58,85,31,15.43,Hostal Iván y yailet
619,Changli,CN,2022-08-01 00:23:04,39.7042,119.1506,80.82,75,0,3.78,7Days Inn Qinhuangdao Changli Jieyang Street
624,Ugoofaaru,MV,2022-08-01 00:23:06,5.6667,73.0,77.13,87,100,34.58,Ungoofaaru Inn
627,Makakilo City,US,2022-08-01 00:23:08,21.3469,-158.0858,84.56,49,40,19.57,Marriott's Ko Olina Beach Club
632,Longkou,CN,2022-08-01 00:23:10,37.6508,120.3286,78.82,89,10,11.18,Pai Hotel Yantai Longkou City Heping Road
633,Pathein,MM,2022-08-01 00:22:49,16.7833,94.7333,80.13,82,94,1.57,Pathein Hotel
634,Puerto Escondido,MX,2022-08-01 00:23:11,15.85,-97.0667,83.88,76,21,4.81,Aldea del Bazar Hotel and Spa
635,Nortelandia,BR,2022-08-01 00:23:12,-14.4547,-56.8028,75.22,33,0,3.51,Pousada e Restaurante Santana
636,Bangui,CF,2022-08-01 00:23:12,4.3612,18.555,75.38,88,40,0.0,SAM HOTEL
643,Chicontepec,MX,2022-08-01 00:23:16,20.9667,-98.1667,75.07,77,71,6.62,HOTEL LA GLORIETA
645,Manhattan,US,2022-08-01 00:20:49,40.7834,-73.9662,81.27,73,40,11.5,The Mark Hotel
651,Noumea,NC,2022-08-01 00:24:20,-22.2763,166.4572,75.18,99,99,13.76,Hôtel Le Lagon
652,Tezu,IN,2022-08-01 00:24:20,27.9167,96.1667,75.27,97,100,1.97,Circuit House
653,Oistins,BB,2022-08-01 00:24:21,13.0667,-59.5333,82.49,78,40,19.57,Butterfly Beach Hotel
656,Yarada,IN,2022-08-01 00:24:22,17.65,83.2667,79.12,94,40,2.3,Yarada Jungle Beach Resorts
660,Palmer,US,2022-08-01 00:24:25,42.1584,-72.3287,78.35,73,75,0.0,Wedgewood Motel
663,Agde,FR,2022-08-01 00:24:04,43.3108,3.4758,81.9,45,0,6.91,CAPAO Beach Hôtel
669,Isangel,VU,2022-08-01 00:22:47,-19.55,169.2667,80.71,69,40,8.05,Tanna Lodge
674,Cascais,PT,2022-08-01 00:24:31,38.6979,-9.4215,78.51,59,0,1.01,Hotel Vila Galé Cascais
677,Kulhudhuffushi,MV,2022-08-01 00:24:32,6.6221,73.07,77.04,85,100,36.93,Haajy Guest House 1
678,Alanya,TR,2022-08-01 00:24:33,36.5438,31.9998,82.92,59,0,3.51,Panorama Hotel
680,Gizo,SB,2022-08-01 00:24:34,-8.103,156.8419,84.04,69,4,4.85,Imagination Island
686,Totness,SR,2022-08-01 00:24:37,5.8833,-56.3167,78.66,84,55,8.52,STAATS LOGEERGEBOUW TOTNESS
690,Sri Aman,MY,2022-08-01 00:24:39,1.2376,111.4621,77.05,88,20,3.44,Seri Simanggang Hotel
693,Phatthalung,TH,2022-08-01 00:25:41,7.5,100.0833,78.66,85,100,4.18,Ozone Resort & Pool Villa
694,Duluth,US,2022-08-01 00:21:12,46.7833,-92.1066,76.06,88,100,9.22,South Pier Inn
697,Yuci,CN,2022-08-01 00:25:42,37.6803,112.7319,76.75,73,0,2.24,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
