City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Mitsamiouli,KM,2022-07-28 23:45:03,-11.3847,43.2844,75.27,75,37,8.97
152,Longyearbyen,SJ,2022-07-28 23:41:50,78.2186,15.6401,42.64,81,75,6.91
153,Adrar,MR,2022-07-28 23:45:04,20.5022,-10.0711,96.12,10,42,6.73
154,Ostrovnoy,RU,2022-07-28 23:45:05,68.0531,39.5131,50.34,89,87,13.24
155,Contamana,PE,2022-07-28 23:45:05,-7.3333,-75.0167,80.96,59,57,3.27
156,Whitianga,NZ,2022-07-28 23:45:06,-36.8333,175.7,58.14,66,9,14.27
157,Castro,BR,2022-07-28 23:45:06,-24.7911,-50.0119,59.77,67,100,4.85
158,Srandakan,ID,2022-07-28 23:45:07,-7.9386,110.2506,75.02,87,88,5.86
159,Hovd,MN,2022-07-28 23:45:07,48.0056,91.6419,64.35,37,14,1.68
160,Georgetown,MY,2022-07-28 23:43:05,5.4112,100.3354,81.9,90,20,7.0
161,Hermanus,ZA,2022-07-28 23:45:08,-34.4187,19.2345,60.8,77,48,19.19
162,Abonnema,NG,2022-07-28 23:45:09,4.7084,6.7931,73.06,93,100,4.14
163,Puerto Escondido,MX,2022-07-28 23:44:07,15.85,-97.0667,85.03,65,40,9.22
164,Waingapu,ID,2022-07-28 23:45:09,-9.6567,120.2641,78.19,64,91,14.12
165,Balkhash,KZ,2022-07-28 23:45:10,46.844,74.9804,77.14,45,88,6.24
166,Straumen,NO,2022-07-28 23:45:10,63.8709,11.2999,48.2,80,89,2.89
167,Manggar,ID,2022-07-28 23:45:11,-2.8833,108.2667,80.69,82,95,15.17
168,Hamilton,US,2022-07-28 23:41:47,39.1834,-84.5333,84.79,60,0,8.05
169,Amapa,BR,2022-07-28 23:45:12,1.0,-52.0,72.07,96,95,1.79
170,Yar-Sale,RU,2022-07-28 23:45:12,66.8333,70.8333,62.44,66,83,7.81
171,Kirakira,SB,2022-07-28 23:44:46,-10.4544,161.9205,82.31,77,58,8.21
